qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
A0A7J7C9N5.1,A0A445G487.1,53.333,525,192,4,1,524,1,473,5.64e-151,432
A0A7J7C9N5.1,A0A061FV42.1,70.760,342,94,4,1,340,1,338,1.06e-150,427
A0A7J7C9N5.1,A0A8B8MFL1.1,52.431,473,188,7,52,522,1,438,2.63e-120,353
A0A7J7C9N5.1,V7AZL8.1,61.491,322,117,3,29,346,28,346,5.33e-115,336
A0A7J7C9N5.1,A0A6A6MU27.1,65.957,235,79,1,277,510,208,442,1.37e-98,297
A0A7J7C9N5.1,A0A1R3HBE1.1,63.485,241,77,4,287,522,176,410,3.05e-88,269
A0A7J7C9N5.1,A0A9E7LCR9.1,38.416,505,234,11,43,514,92,552,1.11e-62,206
A0A7J7C9N5.1,J3KVP0.1,34.025,482,233,19,50,515,29,441,7.07e-56,185
A0A7J7C9N5.1,A0A804PSI5.1,32.797,497,222,17,50,512,35,453,4.19e-48,164
A0A7J7C9N5.1,A0A8T2QHP0.1,38.235,238,132,5,46,268,71,308,1.70e-34,127
A0A7J7C9N5.1,A0A8T2T131.1,36.680,259,139,6,46,284,59,312,2.26e-33,124
A0A9D5AS74.1,A0A9D5AS74.1,100.000,523,0,0,1,523,1,523,0.0,1059
A0A9D5AS74.1,A0A4P1RTN8.1,69.349,522,123,9,4,517,3,495,0.0,631
A0A9D5AS74.1,A0A445G487.1,68.762,509,117,4,17,523,13,481,0.0,597
A0A9D5AS74.1,A0A445BPW7.1,58.730,504,187,6,21,514,5,497,0.0,529
A0A9D5AS74.1,A0A7J7C9N5.1,55.766,529,208,6,1,510,1,522,3.13e-180,508
A0A9D5AS74.1,A0A6P5YBE8.1,54.898,541,211,10,1,521,1,528,6.11e-171,485
A0A9D5AS74.1,A0A1R3IG29.1,56.124,547,200,13,1,521,1,533,6.96e-162,462
A0A9D5AS74.1,A0A059CY44.1,54.442,529,202,8,13,514,6,522,3.57e-153,439
A0A9D5AS74.1,M1CKX2.1,55.533,497,193,9,28,507,22,507,7.30e-152,436
A0A9D5AS74.1,A0A8B8MFL1.1,57.588,481,156,9,57,523,1,447,4.43e-150,429
A0A9D5AS74.1,A0A6P6X6Z4.1,54.684,459,179,9,46,482,43,494,7.43e-138,400
A0A9D5AS74.1,V7AZL8.1,64.928,345,105,4,8,340,6,346,3.32e-130,375
A0A9D5AS74.1,A0A061FV42.1,60.983,346,115,6,1,334,1,338,4.03e-123,357
A0A9D5AS74.1,A0A6A6MU27.1,46.947,475,186,11,9,478,7,420,5.79e-115,339
A0A9D5AS74.1,A0A1R3HBE1.1,54.587,218,77,8,317,521,209,417,7.59e-60,194
A0A9D5AS74.1,J3KVP0.1,30.734,436,213,10,55,463,29,402,1.16e-55,184
A0A9D5AS74.1,A0A9E7LCR9.1,36.501,463,217,8,51,477,95,516,3.48e-54,182
A0A9D5AS74.1,A0A804PSI5.1,32.409,469,217,13,55,490,35,436,1.77e-46,159
A0A9D5AS74.1,A0A8T2QHP0.1,36.471,255,137,9,38,273,60,308,4.78e-31,117
A0A9D5AS74.1,A0A8T2T131.1,34.348,230,134,6,51,265,59,286,5.40e-25,99.0
A0A1R3HBE1.1,A0A1R3HBE1.1,100.000,419,0,0,1,419,1,419,0.0,847
A0A1R3HBE1.1,A0A6A6MU27.1,61.521,447,111,8,5,398,4,442,3.82e-172,481
A0A1R3HBE1.1,A0A1R3IG29.1,97.391,230,6,0,190,419,306,535,3.28e-165,466
A0A1R3HBE1.1,A0A6P5YBE8.1,80.435,230,44,1,190,419,302,530,1.05e-124,363
A0A1R3HBE1.1,A0A061FV42.1,83.243,185,27,3,1,185,1,181,1.86e-101,297
A0A1R3HBE1.1,A0A7J7C9N5.1,63.485,241,77,4,176,410,287,522,4.50e-89,271
A0A1R3HBE1.1,M1CKX2.1,64.246,179,54,4,10,185,8,179,6.31e-64,205
A0A1R3HBE1.1,A0A059CY44.1,57.212,208,71,4,210,413,329,522,5.86e-62,200
A0A1R3HBE1.1,A0A4P1RTN8.1,53.947,228,77,6,190,411,287,492,5.18e-60,194
A0A1R3HBE1.1,A0A445G487.1,63.975,161,55,2,23,182,20,178,1.29e-57,187
A0A1R3HBE1.1,A0A9D5AS74.1,53.441,247,90,9,183,417,288,521,2.30e-57,188
A0A1R3HBE1.1,V7AZL8.1,54.595,185,69,5,4,182,3,178,5.59e-57,182
A0A1R3HBE1.1,A0A445BPW7.1,51.293,232,93,6,187,412,280,497,5.90e-57,186
A0A1R3HBE1.1,A0A6P6X6Z4.1,54.369,206,82,5,210,413,331,526,9.83e-56,183
A0A1R3HBE1.1,A0A8B8MFL1.1,61.240,129,49,1,58,185,1,129,2.45e-46,156
A0A1R3HBE1.1,J3KVP0.1,51.111,135,54,3,56,185,29,156,3.29e-34,123
A0A1R3HBE1.1,A0A8T2QHP0.1,42.568,148,64,3,52,185,71,211,9.93e-29,108
A0A1R3HBE1.1,A0A8T2T131.1,43.919,148,60,5,52,185,59,197,4.65e-28,107
A0A1R3HBE1.1,A0A804PSI5.1,53.704,108,38,3,56,160,35,133,9.97e-28,105
A0A1R3HBE1.1,A0A9E7LCR9.1,71.642,67,18,1,49,115,92,157,2.02e-25,99.0
A0A1R3IG29.1,A0A1R3IG29.1,100.000,535,0,0,1,535,1,535,0.0,1087
A0A1R3IG29.1,A0A6P5YBE8.1,81.308,535,95,4,1,535,1,530,0.0,807
A0A1R3IG29.1,A0A7J7C9N5.1,67.358,530,156,8,4,526,3,522,0.0,625
A0A1R3IG29.1,A0A061FV42.1,86.257,342,43,3,1,342,1,338,0.0,543
A0A1R3IG29.1,M1CKX2.1,61.626,529,173,13,7,525,5,513,7.44e-180,508
A0A1R3IG29.1,A0A059CY44.1,57.854,522,189,9,23,529,17,522,1.67e-169,481
A0A1R3IG29.1,A0A4P1RTN8.1,55.810,525,186,10,10,527,7,492,7.54e-168,476
A0A1R3IG29.1,A0A1R3HBE1.1,97.391,230,6,0,306,535,190,419,4.19e-165,466
A0A1R3IG29.1,A0A9D5AS74.1,56.679,524,188,12,23,533,24,521,2.43e-161,461
A0A1R3IG29.1,A0A6P6X6Z4.1,55.926,540,203,14,7,529,5,526,2.30e-159,456
A0A1R3IG29.1,A0A445BPW7.1,52.794,519,213,12,18,528,3,497,1.83e-155,445
A0A1R3IG29.1,A0A445G487.1,53.216,513,174,9,23,528,20,473,5.64e-143,412
A0A1R3IG29.1,A0A8B8MFL1.1,50.515,485,191,10,58,533,1,445,1.03e-114,338
A0A1R3IG29.1,V7AZL8.1,57.507,353,128,8,7,348,5,346,7.64e-106,313
A0A1R3IG29.1,A0A6A6MU27.1,67.901,243,66,5,279,514,205,442,2.37e-100,301
A0A1R3IG29.1,J3KVP0.1,33.180,434,208,12,56,470,29,399,2.77e-54,181
A0A1R3IG29.1,A0A9E7LCR9.1,35.977,517,236,16,49,529,92,549,1.33e-52,179
A0A1R3IG29.1,A0A804PSI5.1,35.666,443,192,16,56,475,35,407,3.53e-51,172
A0A1R3IG29.1,A0A8T2T131.1,38.618,246,119,7,52,274,59,295,9.28e-35,129
A0A1R3IG29.1,A0A8T2QHP0.1,37.449,243,122,5,52,271,71,306,2.36e-34,127
A0A445BPW7.1,A0A445BPW7.1,100.000,498,0,0,1,498,1,498,0.0,1016
A0A445BPW7.1,A0A4P1RTN8.1,60.843,498,165,4,7,497,19,493,0.0,531
A0A445BPW7.1,A0A9D5AS74.1,58.730,504,187,6,5,497,21,514,0.0,513
A0A445BPW7.1,A0A445G487.1,57.937,504,156,5,4,497,16,473,1.17e-170,481
A0A445BPW7.1,A0A7J7C9N5.1,52.692,520,220,6,2,497,7,524,3.17e-163,464
A0A445BPW7.1,A0A8B8MFL1.1,63.478,460,139,5,41,494,1,437,8.05e-162,457
A0A445BPW7.1,A0A6P5YBE8.1,52.418,517,212,10,3,496,17,522,3.61e-152,436
A0A445BPW7.1,A0A1R3IG29.1,52.008,523,211,11,3,497,18,528,4.48e-152,436
A0A445BPW7.1,M1CKX2.1,54.527,486,199,10,4,472,14,494,2.22e-143,414
A0A445BPW7.1,A0A059CY44.1,52.410,498,199,10,5,476,14,499,8.27e-143,412
A0A445BPW7.1,A0A6P6X6Z4.1,51.613,496,217,10,21,497,34,525,1.14e-139,404
A0A445BPW7.1,V7AZL8.1,64.865,333,109,2,4,328,14,346,1.41e-132,380
A0A445BPW7.1,A0A061FV42.1,55.963,327,132,5,3,322,17,338,2.27e-105,310
A0A445BPW7.1,A0A6A6MU27.1,61.622,185,66,2,4,184,18,201,4.69e-71,224
A0A445BPW7.1,A0A1R3HBE1.1,52.427,206,81,5,306,497,210,412,2.87e-60,195
A0A445BPW7.1,J3KVP0.1,32.401,429,208,11,39,443,29,399,1.44e-57,189
A0A445BPW7.1,A0A9E7LCR9.1,36.864,491,242,12,7,469,73,523,1.76e-55,186
A0A445BPW7.1,A0A804PSI5.1,31.724,435,200,14,39,443,35,402,2.37e-42,147
A0A445BPW7.1,A0A8T2QHP0.1,35.146,239,118,7,35,245,71,300,9.39e-29,110
A0A445BPW7.1,A0A8T2T131.1,36.481,233,121,6,35,245,59,286,2.59e-27,105
A0A9E7LCR9.1,A0A9E7LCR9.1,100.000,558,0,0,1,558,1,558,0.0,1153
A0A9E7LCR9.1,A0A7J7C9N5.1,39.526,506,227,14,92,552,43,514,1.56e-75,240
A0A9E7LCR9.1,A0A4P1RTN8.1,38.538,506,231,13,54,522,1,463,9.75e-75,237
A0A9E7LCR9.1,A0A445G487.1,39.479,461,219,10,73,516,19,436,8.69e-74,234
A0A9E7LCR9.1,M1CKX2.1,39.558,498,214,14,92,537,42,504,2.74e-69,223
A0A9E7LCR9.1,A0A6P6X6Z4.1,36.918,558,258,21,54,549,1,526,1.87e-66,216
A0A9E7LCR9.1,A0A6P5YBE8.1,37.331,517,230,15,90,549,43,522,5.68e-65,212
A0A9E7LCR9.1,A0A804PSI5.1,36.364,440,184,13,101,509,37,411,6.85e-64,207
A0A9E7LCR9.1,A0A1R3IG29.1,35.536,560,276,18,54,554,1,534,2.59e-62,205
A0A9E7LCR9.1,J3KVP0.1,34.660,427,236,11,83,502,12,402,3.42e-62,202
A0A9E7LCR9.1,A0A445BPW7.1,37.931,493,234,14,73,523,7,469,9.96e-62,202
A0A9E7LCR9.1,A0A9D5AS74.1,36.739,460,220,8,95,516,51,477,3.85e-60,199
A0A9E7LCR9.1,A0A059CY44.1,34.200,500,264,10,95,551,44,521,3.19e-57,191
A0A9E7LCR9.1,A0A061FV42.1,40.000,355,177,7,54,398,1,329,7.15e-54,178
A0A9E7LCR9.1,A0A8B8MFL1.1,38.952,439,216,10,101,516,1,410,1.15e-46,160
A0A9E7LCR9.1,V7AZL8.1,40.810,321,164,6,95,411,45,343,1.24e-42,147
A0A9E7LCR9.1,A0A6A6MU27.1,40.553,217,101,6,54,260,1,199,6.56e-35,127
A0A9E7LCR9.1,A0A8T2QHP0.1,28.972,428,225,16,101,500,77,453,1.20e-25,101
A0A9E7LCR9.1,A0A1R3HBE1.1,71.642,67,18,1,92,157,49,115,2.54e-25,99.0
A0A9E7LCR9.1,A0A8T2T131.1,34.672,274,125,10,101,344,65,314,3.93e-25,99.8
A0A061FV42.1,A0A061FV42.1,100.000,359,0,0,1,359,1,359,0.0,725
A0A061FV42.1,A0A6P5YBE8.1,85.799,338,48,0,1,338,1,338,0.0,542
A0A061FV42.1,A0A1R3IG29.1,86.257,342,43,3,1,338,1,342,4.78e-179,499
A0A061FV42.1,A0A7J7C9N5.1,70.760,342,94,4,1,338,1,340,1.47e-148,421
A0A061FV42.1,M1CKX2.1,63.743,342,113,5,4,338,3,340,7.93e-128,368
A0A061FV42.1,A0A9D5AS74.1,61.682,321,108,3,22,338,25,334,1.07e-119,347
A0A061FV42.1,A0A4P1RTN8.1,59.459,333,115,6,1,329,1,317,3.13e-117,340
A0A061FV42.1,A0A6P6X6Z4.1,61.449,345,111,8,10,338,9,347,9.32e-115,335
A0A061FV42.1,A0A445G487.1,61.218,312,106,3,22,329,21,321,9.68e-115,333
A0A061FV42.1,A0A059CY44.1,59.756,328,121,3,22,338,18,345,1.30e-111,327
A0A061FV42.1,V7AZL8.1,57.726,343,132,6,4,338,3,340,3.07e-111,320
A0A061FV42.1,A0A445BPW7.1,55.963,327,132,5,17,338,3,322,1.64e-108,318
A0A061FV42.1,A0A1R3HBE1.1,83.243,185,27,3,1,181,1,185,9.54e-88,262
A0A061FV42.1,A0A6A6MU27.1,67.164,201,63,3,1,199,1,200,2.85e-85,257
A0A061FV42.1,A0A8B8MFL1.1,58.511,282,107,5,54,329,1,278,4.41e-83,251
A0A061FV42.1,J3KVP0.1,36.250,320,170,7,52,351,29,334,2.82e-53,173
A0A061FV42.1,A0A9E7LCR9.1,41.479,311,152,5,45,329,92,398,1.17e-46,158
A0A061FV42.1,A0A804PSI5.1,37.631,287,124,8,52,321,35,283,6.53e-39,135
A0A061FV42.1,A0A8T2QHP0.1,39.669,242,122,7,48,269,71,308,1.63e-37,133
A0A061FV42.1,A0A8T2T131.1,38.983,236,116,6,48,262,59,287,8.66e-35,125
A0A6P6X6Z4.1,A0A6P6X6Z4.1,100.000,526,0,0,1,526,1,526,0.0,1063
A0A6P6X6Z4.1,M1CKX2.1,65.524,525,164,11,1,521,1,512,0.0,558
A0A6P6X6Z4.1,A0A7J7C9N5.1,57.993,538,199,12,1,525,1,524,0.0,520
A0A6P6X6Z4.1,A0A6P5YBE8.1,55.805,534,201,14,9,526,10,524,2.33e-164,468
A0A6P6X6Z4.1,A0A059CY44.1,58.776,490,174,9,34,510,30,504,3.80e-162,462
A0A6P6X6Z4.1,A0A1R3IG29.1,55.413,545,198,16,5,526,7,529,2.82e-161,461
A0A6P6X6Z4.1,A0A445BPW7.1,51.613,496,217,10,34,525,21,497,6.61e-149,428
A0A6P6X6Z4.1,A0A9D5AS74.1,53.863,466,172,10,43,494,46,482,8.10e-140,405
A0A6P6X6Z4.1,A0A4P1RTN8.1,49.531,533,221,12,1,525,1,493,6.43e-137,397
A0A6P6X6Z4.1,A0A445G487.1,47.002,517,209,10,17,526,16,474,4.44e-118,348
A0A6P6X6Z4.1,A0A061FV42.1,60.684,351,116,8,3,347,4,338,1.84e-116,340
A0A6P6X6Z4.1,A0A8B8MFL1.1,48.954,478,202,11,54,526,1,441,9.24e-104,310
A0A6P6X6Z4.1,V7AZL8.1,54.017,361,143,8,1,353,1,346,6.54e-101,300
A0A6P6X6Z4.1,A0A6A6MU27.1,59.606,203,74,4,1,199,1,199,2.71e-69,221
A0A6P6X6Z4.1,J3KVP0.1,35.142,424,224,9,52,474,29,402,9.16e-65,209
A0A6P6X6Z4.1,A0A1R3HBE1.1,55.450,211,72,7,331,526,210,413,5.49e-64,206
A0A6P6X6Z4.1,A0A804PSI5.1,36.281,441,191,17,52,473,35,404,1.18e-53,179
A0A6P6X6Z4.1,A0A9E7LCR9.1,35.091,550,279,16,1,526,54,549,1.74e-53,181
A0A6P6X6Z4.1,A0A8T2QHP0.1,39.344,244,125,6,47,272,70,308,6.78e-36,132
A0A6P6X6Z4.1,A0A8T2T131.1,35.897,234,131,6,47,265,58,287,1.30e-28,110
A0A059CY44.1,A0A059CY44.1,100.000,522,0,0,1,522,1,522,0.0,1069
A0A059CY44.1,A0A7J7C9N5.1,62.475,509,175,4,21,520,23,524,0.0,576
A0A059CY44.1,A0A6P5YBE8.1,59.806,515,180,8,17,518,21,521,2.64e-180,509
A0A059CY44.1,A0A1R3IG29.1,58.429,522,186,9,17,522,23,529,2.28e-176,499
A0A059CY44.1,A0A6P6X6Z4.1,58.776,490,174,9,30,504,34,510,5.03e-165,470
A0A059CY44.1,A0A9D5AS74.1,55.364,522,194,8,13,522,20,514,2.96e-162,462
A0A059CY44.1,A0A4P1RTN8.1,54.932,517,185,8,15,522,18,495,1.04e-161,460
A0A059CY44.1,M1CKX2.1,56.275,510,192,11,20,516,21,512,2.50e-158,452
A0A059CY44.1,A0A445BPW7.1,52.941,493,204,8,14,499,5,476,6.25e-154,441
A0A059CY44.1,A0A445G487.1,49.807,518,192,7,14,522,17,475,3.31e-134,389
A0A059CY44.1,A0A6A6MU27.1,46.881,497,175,13,16,502,21,438,3.68e-122,357
A0A059CY44.1,A0A061FV42.1,62.195,328,113,4,18,345,22,338,9.19e-121,350
A0A059CY44.1,V7AZL8.1,57.353,340,131,4,16,351,17,346,2.21e-109,321
A0A059CY44.1,A0A8B8MFL1.1,48.649,481,192,9,50,518,1,438,3.65e-108,322
A0A059CY44.1,A0A1R3HBE1.1,57.212,208,71,4,329,522,210,413,6.58e-70,221
A0A059CY44.1,J3KVP0.1,31.866,477,249,13,48,513,29,440,1.12e-57,190
A0A059CY44.1,A0A9E7LCR9.1,33.600,500,267,10,44,521,95,551,3.73e-55,185
A0A059CY44.1,A0A804PSI5.1,34.498,458,203,17,48,484,35,416,1.53e-47,162
A0A059CY44.1,A0A8T2QHP0.1,36.585,246,125,6,44,266,71,308,1.19e-31,119
A0A059CY44.1,A0A8T2T131.1,34.231,260,144,8,44,282,59,312,3.55e-25,99.8
A0A804PSI5.1,A0A804PSI5.1,100.000,457,0,0,1,457,1,457,0.0,929
A0A804PSI5.1,J3KVP0.1,44.366,426,159,11,20,404,13,401,2.76e-97,291
A0A804PSI5.1,M1CKX2.1,36.322,435,191,16,35,402,49,464,8.93e-46,157
A0A804PSI5.1,A0A1R3IG29.1,34.318,440,202,13,35,407,56,475,1.35e-43,152
A0A804PSI5.1,A0A6P6X6Z4.1,34.676,447,190,16,35,404,52,473,4.38e-43,150
A0A804PSI5.1,A0A4P1RTN8.1,35.211,426,181,16,35,402,51,439,7.14e-42,146
A0A804PSI5.1,A0A445G487.1,33.019,424,173,12,35,402,51,419,1.07e-41,145
A0A804PSI5.1,A0A6P5YBE8.1,33.830,470,211,18,35,434,52,491,4.32e-41,144
A0A804PSI5.1,A0A7J7C9N5.1,41.629,221,88,4,35,216,50,268,1.87e-39,140
A0A804PSI5.1,A0A9D5AS74.1,32.143,504,235,15,4,436,23,490,2.95e-38,136
A0A804PSI5.1,A0A061FV42.1,37.631,287,124,8,35,283,52,321,2.16e-36,128
A0A804PSI5.1,V7AZL8.1,41.964,224,85,6,35,216,49,269,4.01e-36,127
A0A804PSI5.1,A0A445BPW7.1,31.494,435,201,13,35,402,39,443,8.56e-36,129
A0A804PSI5.1,A0A9E7LCR9.1,31.232,349,185,7,126,456,242,553,5.84e-34,124
A0A804PSI5.1,A0A6A6MU27.1,32.029,409,179,16,35,402,52,402,7.32e-31,114
A0A804PSI5.1,A0A8B8MFL1.1,40.000,220,89,5,37,216,1,217,6.65e-30,112
A0A804PSI5.1,A0A1R3HBE1.1,73.333,60,16,0,35,94,56,115,3.42e-25,97.8
A0A804PSI5.1,A0A8T2QHP0.1,53.750,80,34,1,7,86,50,126,6.91e-20,82.8
A0A804PSI5.1,A0A8T2T131.1,69.231,52,16,0,35,86,63,114,1.36e-18,78.6
A0A804PSI5.1,A0A059CY44.1,37.190,121,54,7,309,416,373,484,5.53e-04,32.3
A0A6A6MU27.1,A0A6A6MU27.1,100.000,447,0,0,1,447,1,447,0.0,912
A0A6A6MU27.1,A0A1R3HBE1.1,61.074,447,113,8,4,442,5,398,1.35e-160,451
A0A6A6MU27.1,A0A4P1RTN8.1,50.000,500,167,12,1,440,1,477,3.64e-142,407
A0A6A6MU27.1,A0A445G487.1,45.806,465,187,8,18,440,16,457,1.05e-112,332
A0A6A6MU27.1,A0A1R3IG29.1,67.901,243,66,5,205,442,279,514,9.64e-99,297
A0A6A6MU27.1,A0A6P5YBE8.1,65.702,242,72,4,205,442,275,509,2.62e-98,296
A0A6A6MU27.1,A0A7J7C9N5.1,65.957,235,79,1,208,442,277,510,4.28e-98,295
A0A6A6MU27.1,A0A061FV42.1,67.164,201,63,3,1,200,1,199,1.11e-84,255
A0A6A6MU27.1,A0A059CY44.1,68.508,181,56,1,21,200,16,196,6.37e-73,230
A0A6A6MU27.1,V7AZL8.1,59.893,187,72,2,18,201,14,200,1.58e-72,224
A0A6A6MU27.1,A0A445BPW7.1,61.622,185,66,2,18,201,4,184,1.43e-71,226
A0A6A6MU27.1,A0A9D5AS74.1,61.702,188,69,2,21,205,23,210,1.78e-70,223
A0A6A6MU27.1,M1CKX2.1,61.165,206,69,6,1,202,1,199,1.16e-69,221
A0A6A6MU27.1,A0A6P6X6Z4.1,59.606,203,74,4,1,199,1,199,2.97e-69,220
A0A6A6MU27.1,A0A8B8MFL1.1,62.838,148,55,0,54,201,1,148,3.84e-61,197
A0A6A6MU27.1,J3KVP0.1,44.156,154,73,3,52,200,29,174,1.17e-37,134
A0A6A6MU27.1,A0A8T2QHP0.1,37.079,178,82,3,48,207,71,236,1.30e-32,121
